other_description,action
ARRESTED BY ASSIST UNITS,Other description
ARRESTED BY ASSISTING OFFICER,Other description
ARRESTED BY P.O. CORTES #17673,Other description
ARRESTED OFFENDER,Other description
ARRESTED SUBJECT,Other description
ARRESTED WITHOUT INCIDENT,Other description
ARRESTEE REMOVED FROM VEHICLE,Other description
ARRRESTED OFFENDER,Other description
AS INDICATED,Other description
ASAP,Other description
ASISTING OFFICERS,Member presence
ASKED FOR ASST/GAVE FLASH,Other description
ASKED HIM TO LEAVE PREMISES,Other description
ASKED SUBJECT TO I.D. HIMSELF,Other description
ASS. CUT NOOSE OFF NECK,Other description
ASSAILANT ACTIVELY RESISTING ,Other description
ASSAILANT PLACED INTO CUSTODY,Other description
ASSAILANT PUSHED AGAINST WALL,Other description
ASSIST CARRYING ARRESTEE,Member presence
ASSIST DRIVER OUT OF VEHICLE,Member presence
ASSIST HOSPITAL RESTRAINT,Member presence
ASSIST IN PLACING HER UNDER AR,Member presence
ASSIST IN SUBDUEING,Member presence
ASSIST INTO SQUADROL,Member presence
ASSIST OFFICERS ARRIVED,Member presence
ASSIST OTHER OFFICERS,Member presence
ASSIST PARTNER IN ARREST,Member presence
ASSIST PLACING OFF IN CUSTODY,Member presence
ASSIST RESTRAINT,Member presence
ASSIST TAKING TO GROUND,Member presence
ASSIST WITH LEG SHACKELS,Member presence
ASSISTANCE,Member presence
ASSISTANCE ,Member presence
ASSISTED ARM BEHIND BACK,Member presence
ASSISTED CONTROLLING MOVEMENT,Member presence
ASSISTED IN  REAR OF CAGE CAR,Member presence
ASSISTED IN ESCORTING SUBJECT,Member presence
ASSISTED IN PLACING IN CUSTODY,Member presence
ASSISTED IN RESTRAINING OFF.,Member presence
ASSISTED IN RESTRAINING OFF. ,Member presence
ASSISTED IN RESTRAINT,Member presence
ASSISTED IN THE ARREST,Member presence
ASSISTED ONTO GURNEY,Member presence
ASSISTED PARTNER,Member presence
ASSISTED PARTNER IN FOOT CHASE,Member presence
ASSISTED SUBJECT FROM VEHICLE,Member presence
ASSISTED SUBJECT INTO VEHICLE,Member presence
ASSISTED WITH ARREST,Member presence
ASSISTING OFFICER,Member presence
ASSISTING OFFICERS,Member presence
ASSISTING OFFICERS ,Member presence
ASSISTING OFFICERS PRESENT,Member presence
ASSISTING UNITS,Member presence
ASSITING OFFICERS ,Member presence
AT SCENE,Other description
AT T TO DETAIN OFFENDER,Other description
ATEMMPT AT HOLDS TO SECURE,Other description
ATMP TO GAIN CONTROL OF ARM,Other description
ATMPTD TO GAIN CNTRL OF ARM ,Other description
ATT TO PULL ARMS OFF CELL DOOR,Other description
ATT TO PULL OFF AWAY,Other description
ATT. CONTROL FROM FLEEING,Other description
ATT. TO CONTR. BY HOLDING ARM,Other description
ATT. TO CONTROL PHYSICALLY,Other description
ATT. TO GAIN CONTROL OF HANDS,Other description
ATT. TO GET OUT OF THE WAY.,Other description
ATT. TO RESTRAIN/HOLD DOWN,Take down
ATTACK STOPPED BY OTHER P.O.,Other description
ATTEMPED TO GRAB THE OFFENDER,Other description
ATTEMPED TO RESTRAIN,Other description
ATTEMPED TO RESTRAIN SUBJECT,Other description
ATTEMPT CONTROL OFFENDERS ARM,Other description
ATTEMPT GRAB SUBJECT,Other description
ATTEMPT PHYSICAL RESTRAINT,Other description
ATTEMPT PLACE OFF. IN WAGON,Other description
ATTEMPT RESTRAIN & GRASP OFF. ,Other description
ATTEMPT RESTRAINING ARMS,Other description
ATTEMPT RESTRAINT,Other description
ATTEMPT TACTICAL RESTRAINT,Other description
ATTEMPT TO APPLY HOLD,Other description
ATTEMPT TO APPREHEND,Other description
ATTEMPT TO ARREST,Other description
ATTEMPT TO AVOID VEHICLE,Other description
ATTEMPT TO CATCH OFFENDER,Other description
ATTEMPT TO CONTROL BODY,Other description
ATTEMPT TO CONTROL SUBJECT,Other description
ATTEMPT TO DETAIN ,Other description
ATTEMPT TO ESCORT/GAIN CONTROL,Other description
ATTEMPT TO GAIN CONTR OF ARMS,Other description
ATTEMPT TO GAIN CONTROL,Other description
ATTEMPT TO GAIN CONTROL OF SUB,Other description
ATTEMPT TO GAIN CONTROL.,Other description
ATTEMPT TO GRAB ARM,Other description
ATTEMPT TO GRAB OFFENDER,Other description
ATTEMPT TO HOLD HIM DOWN,Take down
ATTEMPT TO HOLD OFFENDER,Other description
ATTEMPT TO HOLD SUBJECT,Other description
ATTEMPT TO MOVE OUT OF WAY,Other description
"ATTEMPT TO PHYSICAL CONTROL,",Other description
ATTEMPT TO PHYSICALLY CONTROL,Other description
ATTEMPT TO PIN LEGS,Other description
ATTEMPT TO PLACE IN CUSTODY,Other description
ATTEMPT TO PRY HAND FROM WHEEL,Other description
ATTEMPT TO PRY HAND OFF WHEEL,Other description
ATTEMPT TO PULL ARMS OFF DOOR,Other description
ATTEMPT TO PULL OFF FROM VEH,Other description
ATTEMPT TO PULL OFF. OFF VICT.,Other description
ATTEMPT TO PULL SUBJECT BACK,Other description
ATTEMPT TO PUSH PAST FOR ESCAP,Other description
ATTEMPT TO PUT SUBJECT IN CAR,Other description
ATTEMPT TO REDIRECT,Other description
ATTEMPT TO REMOVE FROM CAR,Other description
ATTEMPT TO REMOVE FROM VEHICL ,Other description
ATTEMPT TO REMOVE KEYS/VEHICLE,Other description
ATTEMPT TO RESTRAIN,Other description
ATTEMPT TO RESTRAIN ARM/HAND,Other description
ATTEMPT TO RESTRAIN SUBJECT,Other description
ATTEMPT TO RETRIEVE WEAPON,Other description
ATTEMPT TO SECURE LEGS ,Other description
ATTEMPT TO SEPARATE COMBATANTS,Other description
ATTEMPT TO STOP ACTIONS ,Other description
ATTEMPT TO SUBDUE,Other description
ATTEMPT TO WAIST TACKLE ,Other description
ATTEMPTED  TO REMOVE TIE FROM ,Other description
ATTEMPTED CONTROL TECHNIQUES,Other description
ATTEMPTED EVASIVE MOVEMENT,Other description
ATTEMPTED LEG SWEEP,Other description
ATTEMPTED PAT-DOWN,Other description
ATTEMPTED PHYSICAL CONTROL,Other description
ATTEMPTED TO APPLY LEG SHACKLE,Other description
ATTEMPTED TO APPREHEND,Other description
ATTEMPTED TO APPROACH,Other description
ATTEMPTED TO APPROACH         ,Other description
ATTEMPTED TO ARREST,Other description
ATTEMPTED TO ARREST ,Other description
ATTEMPTED TO ARREST OFFENDER,Other description
ATTEMPTED TO ARREST SUBJECT,Other description
ATTEMPTED TO AVOID,Other description
ATTEMPTED TO AVOID COLLISION,Other description
ATTEMPTED TO AVOID VEHICLE.,Other description
ATTEMPTED TO CARRY,Other description
ATTEMPTED TO CLOSE CAR DOOR,Other description
ATTEMPTED TO CONTAIN HANDS,Other description
ATTEMPTED TO CONTAIN OFFENDER,Other description
ATTEMPTED TO CONTAIN SUBJECT,Other description
ATTEMPTED TO CONTROL OFFENDER,Other description
ATTEMPTED TO CONTROL SUBJECT,Other description
ATTEMPTED TO CURB OFFENDER,Other description
ATTEMPTED TO CURB VEHICLE,Other description
ATTEMPTED TO DEESCALATE,Other description
ATTEMPTED TO DEFEAT ARREST,Other description
ATTEMPTED TO DEFLECT ATTACK,Other description
ATTEMPTED TO DETAIN,Other description
ATTEMPTED TO DISABLE VEHICLE,Other description
ATTEMPTED TO EXTEND ARM,Other description
ATTEMPTED TO EXTEND LEG.,Other description
ATTEMPTED TO GAIN CONTROL,Other description
ATTEMPTED TO GAIN CONTROL ,Other description
ATTEMPTED TO GAIN CONTROL BY,Other description
ATTEMPTED TO GET BELT CONTROL,Other description
ATTEMPTED TO GRAB  HE  FLED,Other description
ATTEMPTED TO GRAB AND CONTROL ,Other description
ATTEMPTED TO GRAB ARM,Other description
ATTEMPTED TO GRAB ARMS,Other description
ATTEMPTED TO GRAB HER ARMS,Other description
ATTEMPTED TO GRAB LEG,Other description
ATTEMPTED TO GRAB OFFENDER,Other description
ATTEMPTED TO GRAB SUBJECT,Other description
ATTEMPTED TO GRAB THE ASSAILAN,Other description
ATTEMPTED TO GRAB THE OFFENDER,Other description
ATTEMPTED TO GRAB VEHICLE KEYS,Other description
ATTEMPTED TO HANDCULF,Other description
ATTEMPTED TO HOLD,Other description
ATTEMPTED TO HOLD /DETAIN,Other description
ATTEMPTED TO HOLD ARMS/HANDS,Other description
ATTEMPTED TO HOLD DOWN/RESTRAI,Take down
ATTEMPTED TO HOLD HER ARM,Other description
ATTEMPTED TO HOLD OFFENDER,Other description
ATTEMPTED TO HOLD OFFENDER ,Other description
ATTEMPTED TO HOLD SUBJECT,Other description
ATTEMPTED TO HOLD SUBJECT DOWN,Take down
ATTEMPTED TO INTERVENE,Other description
ATTEMPTED TO LOOSEN GRASP,Other description
ATTEMPTED TO MOVE CHAIR ,Other description
ATTEMPTED TO OPEN WINDOW,Other description
ATTEMPTED TO PERFORM EMERGENCY,Other description
ATTEMPTED TO PIN OFFENDER ARMS,Other description
ATTEMPTED TO PIVOT AWAY ,Other description
ATTEMPTED TO PLACE IN CUSTODY,Other description
ATTEMPTED TO PLACE IN VEHICLE,Other description
ATTEMPTED TO PULL FROM CAR,Other description
ATTEMPTED TO PULL HAND FREE,Other description
ATTEMPTED TO PULL OFFENDER OFF,Other description
ATTEMPTED TO PULL OUT OF CAR,Other description
ATTEMPTED TO PUSH DOOR CLOSED ,Other description
ATTEMPTED TO PUSH INTO SQUAD ,Other description
ATTEMPTED TO PUSH SUBJECT AWAY,Other description
ATTEMPTED TO PUT IN VEHICLE,Other description
ATTEMPTED TO PUT ON LEG IRONS,Other description
ATTEMPTED TO RE-ADJUST HANDCUF,Other description
ATTEMPTED TO REACH COVER,Other description
ATTEMPTED TO REMOVE SUBJECT,Other description
ATTEMPTED TO RESTRAIN,Other description
ATTEMPTED TO RESTRAIN ,Other description
ATTEMPTED TO RESTRAIN ARMS,Other description
ATTEMPTED TO RESTRAIN OFFENDER,Other description
ATTEMPTED TO RESTRAIN SUBJECT,Other description
ATTEMPTED TO RESTRAIN SUBJECT ,Other description
ATTEMPTED TO RESTRAIN/HOLD DOW,Other description
ATTEMPTED TO RESTRIAN/HOLD DOW,Other description
ATTEMPTED TO SECURE,Other description
ATTEMPTED TO SECURE ,Other description
ATTEMPTED TO SECURE LEGS,Other description
ATTEMPTED TO SEPERATE OFF/VICT,Other description
ATTEMPTED TO SHRUG OFF,Other description
ATTEMPTED TO STABALIZE,Other description
ATTEMPTED TO SUBDUE,Other description
ATTEMPTED TO SUBDUE SUBJECT,Other description
ATTEMPTED TO TACKLE OFFENDER,Other description
ATTEMPTED TO TAKE INTO CUSTODY,Other description
ATTEMPTED TO WALK ARROUND,Other description
ATTEMPTED TO WALK/PULL AWAY,Other description
ATTEMPTED/ UNSUCCESSFUL.,Other description
ATTEMPTING TO CONTROL SUBJECT,Other description
ATTEMPTING TO GRAB OFFENDER,Other description
ATTEMPTING TO HOLD BACK OFFEND,Other description
ATTEMPTING TO HOLD SUBJECT,Other description
ATTEMPTING TO PLACE IN WAGON,Other description
ATTEMPTING TO RESTRAIN LEGS,Other description
ATTEMPTS TO RESTRAIN,Other description
ATTEMPTS TO TAKE INTO CUSTODY,Other description
ATTEMTED TO APPREHEND,Other description
ATTEPTED TO GRAB JEWELRY,Other description
ATTEPTED TO RESTRAIN/HOLD DOWN,Other description
ATTMPT.TO PLACE HOS. RESTRAINT,Other description
ATTMPTED TO PULL OFF INTO CAR,Other description
AVOID AND PLACED SUBJ IN CAR,Other description
AVOID IMPACT,Other description
AVOID INJURY FROM VEHICLE,Other description
AVOIDANCE TECHNIQUES,Other description
AWAITED ARRIVEL FOR BACK UP,Other description
BACKED AWAY ,Other description
BACKED AWAY FROM CELL,Other description
BACKED FROM OFFENDER,Other description
BACKED OFF,Other description
BACKED OFF TO AVOID BITE,Other description
BACKED UP,Other description
BACKHAND STRIKE,Open hand strike
BALLISTIC SHIELD,Other description
BARK AND HOLD,Other description
BEAR HUG,Other description
BEAR HUG CHEST/ARMS,Other description
BEAR HUGGED THE OFFENDER,Other description
BEAR HUGGED TRIED TO SUBDUE ,Other description
BEAR HUGGED/TOOK OFFENDER DOWN,Other description
BEARHUG,Other description
BEGAN TO ISSUE PARKING TICKET,Other description
BENT OVER ESCORT POSITION,Other description
BICYCLE,Other description
BLACKED CELL,Other description
BODY AND HEAD HELD DOWN,Other description
BODY CHECK WITH HANDS,Other description
BODY CONTROL ,Other description
BODY HOLDS,Other description
BODY MOVEMENT AND ARM CONTROL,Other description
BODY WEIGHT,Other description
BODY WEIGHT ON LEG,Other description
BODY WEIGHT ON OFFENDER,Other description
BODY WEIGHT TO CONTROL,Other description
BODY WEIGHT TO CONTROL LEGS,Other description
BODY WEIGHT USED TO SUBDUE,Other description
BODY WIEGHT TO CONTROL,Other description
BOOT,Other description
BOTH SETS OF PROBES,Taser
BRACED OFFENDER AGAINST GLASS,Other description
BRACED OFFENDER ON GATE,Other description
BRACED TO DEFEND SELF,Other description
BREAKING PASSENGER WINDOW ,Other description
BREAKING WINDOW CAUSING INJURY,Other description
BRIEF FOOT CHASE,Other description
BRIEF STRUGGLE,Other description
BROKE AUTO WINDOW TO GET FREE,Other description
BROKE DRIVERS SIDE WINDOW,Other description
BROKE OFFENDERS GRIP,Other description
BROKE OUT CAR WINDOW,Other description
BROKE OUT WINDOW TO VEHICLE,Other description
BROKE PASSENGER SIDE WINDOW,Other description
BROKE SUBJECTS HOLD ON R/D,Other description
BROKE SUBJECTS HOLD ON R/O,Other description
BROKE VEHICLE WINDOW,Other description
BROKE WINDOW,Other description
BROKE WINDOW TO AFFECT ARREST,Other description
BROKE WINDOW TO FREE ARM,Other description
BROUGHT SUBJECT TO THE GROUND ,Take down
BROUGHT TO THE GROUND,Take down
BROUGHT UNDER CONTROL W/ASSIST,Other description
"BULL  RUSH TO COUCH,SMOTHERING",Other description
BULL RUSH/PUSH SUBJECT,Other description
BUMPED ARRESTEE REAR HEAD AREA,Other description
BUTT OF FLASHLIGHT,Other description
C31000M68 CARTRIDGE,Taser
C62001ANC,Other description
CALL 911,Verbal direction/control techniques
CALL FOR ASSISTANCE,Verbal direction/control techniques
CALL FOR ASST. UNITS,Verbal direction/control techniques
CALLED 1071 FOR TRANSPORT,Verbal direction/control techniques
CALLED 911,Verbal direction/control techniques
CALLED 911 ,Verbal direction/control techniques
CALLED 911 (TWICE),Verbal direction/control techniques
CALLED 911 & FOLLOWED SUBJ ,Verbal direction/control techniques
CALLED 911 & GAVE DESCRIPTION,Verbal direction/control techniques
CALLED 911 AND ANOUNCED OFFIC ,Verbal direction/control techniques
CALLED 911 FOR ASSISTANCE,Verbal direction/control techniques
CALLED 911-CONTINUO COMMUNICAT,Verbal direction/control techniques
CALLED 911-CONTINUOUS CONTACT,Verbal direction/control techniques
CALLED FOR ADDITIONA OFFICERS,Verbal direction/control techniques
CALLED FOR ADDITIONAL UNITS,Verbal direction/control techniques
CALLED FOR AN ASSIST,Verbal direction/control techniques
CALLED FOR ASSIST,Verbal direction/control techniques
CALLED FOR ASSIST NO FORCE USE,Verbal direction/control techniques
CALLED FOR ASSIST UNITS,Verbal direction/control techniques
CALLED FOR ASSIST UNITS.,Verbal direction/control techniques
CALLED FOR ASSISTAANCE,Verbal direction/control techniques
CALLED FOR ASSISTANCE,Verbal direction/control techniques
CALLED FOR BACK UP,Verbal direction/control techniques
CALLED FOR BACKUP,Verbal direction/control techniques
CALLED FOR POLICE ASSISTANCE,Verbal direction/control techniques
CALLED FOR SWAT,Verbal direction/control techniques
CALLED FOR TRANSPORT. BT 671,Verbal direction/control techniques
CALLED OEC FOR ASSIT,Verbal direction/control techniques
CALLED POLICE,Verbal direction/control techniques
CALLED POLICE VIA 911,Verbal direction/control techniques
CALLED THE POLICE,Verbal direction/control techniques
CALLING 911,Verbal direction/control techniques
"CALLING 911, TAKING COVER",Verbal direction/control techniques
CAPTURED W/OUT INCIDENT,Other description
CARRIED,Other description
CARRIED ,Other description
CARRIED AND PULLED,Other description
CARRIED ARRESTEE INTO STATION,Other description
CARRIED ARRESTEE TO POLICE VEH,Other description
CARRIED ARRESTEE TO SQUADROL,Other description
CARRIED ARRESTEE TO WAGON,Other description
CARRIED ARRESTIE TO WAGON,Other description
CARRIED ASSAILANT TO THE CAR,Other description
CARRIED B/C HE REFUSED TO WALK,Other description
CARRIED B/C REFUSED TO WALK,Other description
CARRIED BY ARMS AND LEGS,Other description
CARRIED BY EXTREMITIES,Other description
CARRIED BY EXTREMITIES ,Other description
CARRIED DOWN 2 FLIGHTS STAIRS,Other description
CARRIED HER TO SQUADROLL,Other description
CARRIED HER TO THE SQUAD CAR,Other description
CARRIED HIM,Other description
CARRIED HIM ,Other description
CARRIED OFF TO PATROL VEHICLE,Other description
CARRIED OFFENDER,Other description
CARRIED OFFENDER BY HER LEGS,Other description
CARRIED OFFENDER INTO STATION,Other description
CARRIED OFFENDER INTO THE CAR,Other description
CARRIED OFFENDER TO INT. ROOM,Other description
CARRIED OFFENDER TO THE CAR,Other description
CARRIED OFFENDER TO TRANSPORT,Other description
CARRIED OFFENDER TO VEHICLE,Other description
CARRIED OVER OPENING IN FENCE,Other description
CARRIED RESISTER,Other description
CARRIED SUBJECT,Other description
CARRIED SUBJECT ,Other description
CARRIED SUBJECT FROM VEHICLE,Other description
CARRIED SUBJECT INTO STATION,Other description
CARRIED SUBJECT OFF OF BUS,Other description
CARRIED SUBJECT TO 471R,Other description
CARRIED SUBJECT TO CAR,Other description
CARRIED SUBJECT TO SQUADROL,Other description
CARRIED SUBJECT TO VEHICLE,Other description
CARRIED SUBJECT TO WAGON,Other description
CARRIED TO CAR,Other description
CARRIED TO PATROL VEHICLE,Other description
CARRIED TO POLICE VEHICLE,Other description
CARRIED TO SQUADROL,Other description
CARRIED TO THE WAGON,Other description
CARRIED TO VEHICLE,Other description
CARRIED TO WAGON,Other description
CARRIED/DRAGGED,Other description
CARRY ALONG TO CELL,Other description
CARRY ARRESTEE,Other description
CARRY BY ARMS/LEGS,Other description
CARRY OFFENDER,Other description
CARRY SUBJECT,Other description
CARRY SUBJECT DOWN STAIRS,Other description
CARRY TO PLACE IN WAGON.,Other description
CARTRIDGE SERIAL #156348,Other description
CAUGHT AND PLACED INTO CUSTODY,Other description
CAUGHT OFFENDER AS HE FELL ,Other description
CEASED PURSUIT DUE TO INJURY,Other description
CFD PERSONNEL ASSISTED,Member presence
CHARGED ACCORDINGLY,Other description
CHARGES ADDED,Other description
CHASE,Other description
CHASE AND TACKLE,Other description
CHASE FLEEING SUBJECT ,Other description
CHASE ON FOOT,Other description
CHASED,Other description
CHASED AFTER,Other description
CHASED AND APPREHENDED OFFENDE,Other description
CHASED ARMED OFF.,Other description
CHASED FLEEING SUBJECT,Other description
CHASED OFFENDER,Other description
CHASED OFFENDER AFTER BATTERY,Other description
CHASED OFFENDER ON FOOT,Other description
CHASED OFFENDER/ARRESTED,Other description
CHASED ON FOOT,Other description
CHASED SUBJECT,Other description
CHASED SUBJECT ON FOOT,Other description
CHASED SUBJECT ON FOOT.,Other description
CHASED TROUGH TRAFFIC,Other description
"CHASED, PLACED OFF. IN CUSTODY",Other description
CHOKE HOLD,Other description
CIRCUIT WAS NOT COMPLETED,Other description
CLEAR OUT OF WAY,Other description
"CLIMBED WINDOW, PLACED IN CUST",Other description
CLOSE COMBAT STANCE,Other description
CLOSE SQUAD CAR DOOR,Other description
CLOSE VEHICLE DOOR,Other description
CLOSED CAR DOOR,Other description
"CLOSED DISTANCE,BROUGHT DOWN",Other description
CLOSED DOOR TO ROOM,Other description
CLOSED DOOR TO ROOM ,Other description
CLOSED IN ,Other description
CLOSED PROTECTIVE SHIELD,Other description
CLOSED SQUAD CAR DOOR,Other description
CLOSED SQUAD DOOR ,Other description
CLOSED SQUADROL DOOR,Other description
CLOSED THE TRANSPORT VAN DOOR,Other description
CLOSED VEHICLE DOOR,Other description
CLOSED WAGON DOOR,Other description
COME ALONG HOLD,Other description
COMPLIED,Other description
COMPRESSED BODY AGAINST VEHICL,Other description
CONROL HOLD ,Other description
CONSTANT CONTROL OF SUBJECT.,Other description
CONT DRIVING TO DIST STATION,Other description
CONT. ORIGINAL RESPONSES,Verbal direction/control techniques
CONT' TO GIVE VER. DIRECTION ,Verbal direction/control techniques
CONTACTED 911,Verbal direction/control techniques
CONTACTED CPD VIA CELL PHONE,Other description
CONTINUED ATTEMPS TO RESTRAIN,Other description
CONTINUED ATTEMPTS TO RESTRAIN,Other description
CONTINUED CHASE,Other description
CONTINUED ESCORT,Member presence
CONTINUED FIRM HOLD ON RESISTE,Other description
CONTINUED FOOT CHASE,Other description
